id_anime;nom_anime;note_anime;membres_anime;id_genre;id_type
1382;Yuusha-Ou GaoGaiGar Final;8.25;5001;44;4
23289;Gekkan Shoujo Nozaki-kun;8.24;292622;46;6
18;Initial D Fourth Stage;8.24;41584;43;6
4814;Junjou Romantica 2;8.24;87617;46;6
16662;Kaze Tachinu;8.24;75359;49;1
12031;Kingdom;8.24;54211;43;6
8129;Kuragehime;8.24;108053;46;6
14513;Magi: The Labyrinth of Magic;8.24;317513;43;6
2581;Mobile Suit Gundam 00;8.24;120351;43;6
30015;ReLIFE;8.24;202249;68;6
6171;Saint Seiya: The Lost Canvas - Meiou Shinwa;8.24;40355;43;4
1827;Seirei no Moribito;8.24;106888;43;6
25013;Akatsuki no Yona;8.23;216674;43;6
1367;Detective Conan Movie 08: Magician of the Silver Sky;8.23;23130;44;1
27833;Durarara!!x2 Ketsu;8.23;115295;43;6
26213;Free!: Eternal Summer Special;8.23;36091;46;5
1974;Glass no Kamen (2005);8.23;17038;49;6
8425;Gosick;8.23;232113;49;6
12069;Hajime no Ippo: Boxer no Kobushi;8.23;20157;46;5
185;Initial D First Stage;8.23;68128;43;6
18679;Kill la Kill;8.23;508118;43;6
2034;Lovely★Complex;8.23;235003;46;6
437;Perfect Blue;8.23;117565;47;1
721;Princess Tutu;8.23;73218;46;6
12477;Sakasama no Patema;8.23;89749;71;1
4938;Tsubasa: Shunraiki;8.23;40420;43;4
2402;Ashita no Joe;8.22;15442;49;6
6702;Fairy Tail;8.22;584590;43;6
1566;Ghost in the Shell: Stand Alone Complex - Solid State Society;8.22;55247;61;5
31741;Magi: Sinbad no Bouken (TV);8.22;73480;43;6
440;Shoujo Kakumei Utena;8.22;77464;49;6
4107;Tengen Toppa Gurren Lagann Movie: Gurren-hen;8.22;72933;43;1
1506;Detective Conan Movie 10: Requiem of the Detectives;8.21;21789;44;1
2759;Evangelion: 1.0 You Are (Not) Alone;8.21;194561;43;1
72;Full Metal Panic? Fumoffu;8.21;171086;43;6
3016;Ginga Eiyuu Densetsu: Arata Naru Tatakai no Overture;8.21;11808;43;1
3783;Kara no Kyoukai 3: Tsuukaku Zanryuu;8.21;108720;43;1
3927;Mobile Suit Gundam 00 Second Season;8.21;86972;43;6
11597;Nisemonogatari;8.21;260062;46;6
28025;Tsukimonogatari;8.21;111009;46;6
24833;Ansatsu Kyoushitsu (TV);8.20;312654;43;6
29893;Aria The Avvenire;8.20;9500;51;5
27663;Baby Steps 2nd Season;8.20;36251;68;6
1482;D.Gray-man;8.20;334399;43;6
3371;Ginga Eiyuu Densetsu Gaiden: Senoku no Hoshi, Senoku no Hikari;8.20;8621;43;4
25313;Gintama: Jump Festa 2014 Special;8.20;13764;43;5
1430;Lupin III: Cagliostro no Shiro;8.20;32732;44;1
33051;Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season;8.20;21210;43;6
7720;Ookiku Furikabutte: Natsu no Taikai-hen;8.20;22190;46;6
1914;Saiunkoku Monogatari 2nd Season;8.20;23160;44;6
20371;Sekaiichi Hatsukoi Movie: Yokozawa Takafumi no Baai;8.20;23045;46;1
15039;Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie;8.19;95241;49;1
2164;Dennou Coil;8.19;76860;44;6
237;Eureka Seven;8.19;239570;44;6
2449;Ghost in the Shell: Stand Alone Complex - The Laughing Man;8.19;21435;43;5
10643;Gintama: Dai Hanseikai;8.19;14728;43;5
17739;Hidamari Sketch: Sae Hiro Sotsugyou-hen;8.19;5959;46;4
135;Hikaru no Go;8.19;69000;46;6
6045;Kimi ni Todoke;8.19;309339;68;6
16001;Kokoro Connect: Michi Random;8.19;106989;46;5
6211;Tokyo Magnitude 8.0;8.19;121349;49;6
232;Cardcaptor Sakura;8.18;181249;44;6
4789;ef: A Tale of Melodies.;8.18;103657;49;6
16918;Gin no Saji;8.18;116261;46;6
16;Hachimitsu to Clover;8.18;130646;46;6
1486;Kodomo no Omocha (TV);8.18;27893;46;6
24997;Love Live! The School Idol Movie;8.18;38118;63;1
32902;Mahoutsukai no Yome: Hoshi Matsu Hito;8.18;43372;51;4
8063;Sekaiichi Hatsukoi OVA;8.18;35225;46;4
25879;Working!!!;8.18;80763;46;6
889;Black Lagoon;8.17;332562;43;6
21419;Detective Conan Movie 18: The Sniper from Another Dimension;8.17;12151;43;1
2952;Final Fantasy VII: Advent Children Complete;8.17;77111;43;4
934;Higurashi no Naku Koro ni;8.17;359494;56;6
12189;Hyouka;8.17;372246;64;6
731;Interstella5555: The 5tory of The 5ecret 5tar 5ystem;8.17;31464;44;2
1530;Kanon (2006);8.17;163171;49;6
9656;Kimi ni Todoke 2nd Season;8.17;171866;68;6
20507;Noragami;8.17;515378;43;6
31149;Persona 3 the Movie 4: Winter of Rebirth;8.17;13359;43;1
4918;xxxHOLiC Shunmuki;8.17;40401;46;4
14075;Zetsuen no Tempest;8.17;259900;43;6
4772;Aria The Origination: Sono Choppiri Himitsu no Basho ni...;8.16;11961;46;5
781;Detective Conan Movie 03: The Last Wizard of the Century;8.16;26799;44;1
1363;Detective Conan Movie 04: Captured in Her Eyes;8.16;25461;44;1
223;Dragon Ball;8.16;316102;44;6
2004;Hanada Shounen-shi;8.16;6321;46;6
25649;Junjou Romantica 3;8.16;39866;46;6
153;Juuni Kokuki;8.16;66646;43;6
5029;Major Movie: Yuujou no Winning Shot;8.16;9943;43;1
302;Mirai Shounen Conan;8.16;15557;44;6
8740;One Piece Film: Strong World Episode 0;8.16;33862;43;4
5682;Phantom: Requiem for the Phantom;8.16;159105;43;6
21647;Tamako Love Story;8.16;72708;46;1
16049;Toaru Kagaku no Railgun S;8.16;137105;43;6
1065;Touch;8.16;12833;49;6
18179;Yowamushi Pedal;8.16;91138;46;6
47;Akira;8.15;215897;43;1
23199;Durarara!!x2 Shou;8.15;189407;43;6
32122;Gintama: Jump Festa 2015 Special;8.15;7923;43;5
30415;High☆Speed!: Free! Starting Days;8.15;24310;70;1
851;Kyou kara Ore wa!!;8.15;7954;46;4
10049;Nurarihyon no Mago: Sennen Makyou;8.15;75612;43;6
1943;Paprika;8.15;163308;51;1
4053;Prince of Tennis: The National Tournament Finals;8.15;21020;46;4
846;School Rumble Ni Gakki;8.15;93095;46;6
9926;Sekaiichi Hatsukoi;8.15;94820;46;6
31173;Akagami no Shirayuki-hime 2nd Season;8.14;80862;49;6
4059;Clannad: Mou Hitotsu no Sekai, Tomoyo-hen;8.14;160423;49;5
589;Ginga Nagareboshi Gin;8.14;10575;43;6
15059;Initial D Fifth Stage;8.14;26711;43;6
7791;K-On!!;8.14;246276;46;6
17265;Log Horizon;8.14;387100;43;6
20815;Sekaiichi Hatsukoi: Valentine-hen;8.14;13454;46;1
535;Slayers Next;8.14;39832;44;6
2563;Aria The OVA: Arietta;8.13;20629;51;4
9963;Detective Conan Movie 15: Quarter of Silence;8.13;17165;44;1
32551;Digimon Adventure tri. 3: Kokuhaku;8.13;20989;43;1
2951;Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi;8.13;29331;43;5
2762;Igano Kabamaru;8.13;5063;44;6
14713;Kamisama Hajimemashita;8.13;189641;46;6
14807;Kara no Kyoukai: Mirai Fukuin;8.13;41168;49;1
81;Mobile Suit Gundam: The 08th MS Team;8.13;34177;44;4
9204;Omae Umasou da na;8.13;6645;43;1
31098;Ushio to Tora (TV) 2nd Season;8.13;43916;46;6
33253;Ajin 2nd Season;8.12;51382;43;6
24921;Aoki Hagane no Arpeggio: Ars Nova Cadenza;8.12;12353;43;1
1471;City Hunter 2;8.12;8199;43;6
27831;Durarara!!x2 Ten;8.12;132506;43;6
2924;ef: A Tale of Memories.;8.12;151106;49;6
4672;Ghost in the Shell 2.0;8.12;51789;43;1
2448;Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven;8.12;16614;43;5
3907;Ginga Sengoku Gunyuuden Rai;8.12;5308;44;6
186;Initial D Second Stage;8.12;45825;43;6
10080;Kami nomi zo Shiru Sekai II;8.12;194300;46;6
30885;Noragami Aragoto OVA;8.12;58075;43;4
21469;Stand By Me Doraemon;8.12;5712;46;1
14813;Yahari Ore no Seishun Love Comedy wa Machigatteiru.;8.12;353876;46;6
6421;Fullmetal Alchemist: Brotherhood Specials;8.11;67962;44;5
21855;Hanamonogatari;8.11;124886;46;6
11739;Kimi to Boku. 2;8.11;44564;46;6
2159;Ookiku Furikabutte;8.11;49599;46;6
28297;Ore Monogatari!!;8.11;200833;46;6
29831;Tamayura: Sotsugyou Shashin Part 4 - Ashita;8.10;3187;46;1
2154;Tekkon Kinkreet;8.11;46018;43;1
6505;There She Is!!;8.11;13935;46;3
861;xxxHOLiC;8.11;150872;46;6
1689;Byousoku 5 Centimeter;8.10;324035;49;1
34103;Danganronpa 3: The End of Kibougamine Gakuen - Kibou-hen;8.10;29969;43;5
3665;Ginga Eiyuu Densetsu Gaiden: Rasen Meikyuu;8.10;7712;49;4
9996;Hyouge Mono;8.10;10649;55;6
7711;Karigurashi no Arrietty;8.10;97910;51;1
401;Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen;8.10;49454;49;4
32093;Tanaka-kun wa Itsumo Kedaruge;8.10;101335;46;6
12113;Berserk: Ougon Jidai-hen II - Doldrey Kouryaku;8.09;66721;43;1
7338;Darker than Black: Kuro no Keiyakusha Gaiden;8.09;136135;43;5
32613;Elsword: El Lady;8.11;3846;43;3
3014;Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai;8.09;15069;43;1
645;Hikaru no Go: Journey to the North Star Cup;8.09;13901;52;5
11135;Hybrid Child;8.09;26036;49;4
5781;Isekai no Seikishi Monogatari;8.09;72021;43;4
13767;Junjou Romantica OVA;8.09;23192;46;4
5678;Kobato.;8.09;88986;46;6
6774;Kuuchuu Buranko;8.09;41521;46;6
1089;Macross: Do You Remember Love?;8.09;19240;43;1
25161;One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai;8.09;30516;44;5
995;Prince of Tennis: The National Tournament;8.09;25170;43;4
2752;Prince of Tennis: The National Tournament Semifinals;8.09;21186;43;4
15;Eyeshield 21;8.08;83648;43;6
122;Full Moon wo Sagashite;8.08;59374;46;6
29095;Grisaia no Rakuen;8.08;111962;49;6
1594;Jigoku Shoujo Futakomori;8.08;79816;56;6
3092;Junjou Romantica;8.08;117910;46;6
10721;Mawaru Penguindrum;8.08;156689;46;6
16395;SKET Dance OVA;8.08;11342;46;4
3588;Soul Eater;8.08;580184;43;6
4106;Trigun: Badlands Rumble;8.08;68181;43;1
387;Haibane Renmei;8.07;120731;49;6
16916;Kuroko no Basket: Tip Off;8.07;41760;46;5
1088;Macross;8.07;44157;43;6
10620;Mirai Nikki (TV);8.07;657190;43;6
2143;Saiyuuki Reload: Burial;8.07;6554;43;4
6582;Tentai Senshi Sunred 2nd Season;8.07;4584;46;6
2158;Terra e... (TV);8.07;36941;43;6
22319;Tokyo Ghoul;8.07;618056;43;6
11113;Usagi Drop Specials;8.07;36351;57;5
6586;Yume-iro Pâtissière;8.07;36921;58;6
66;Azumanga Daioh;8.06;170901;46;6
8142;Colorful (Movie);8.06;63263;49;1
6438;Detective Conan OVA 09: The Stranger in 10 Years...;8.06;9649;44;4
33032;Drifters: Special Edition;8.06;9807;43;4
227;FLCL;8.06;305165;43;4
73;Full Metal Panic! The Second Raid;8.06;155340;43;6
4898;Kuroshitsuji;8.06;424919;43;6
19111;Love Live! School Idol Project 2nd Season;8.06;91864;63;6
7222;Macross F Movie 2: Sayonara no Tsubasa;8.06;17826;43;1
22097;Magi: Sinbad no Bouken;8.06;52351;43;4
15689;Nekomonogatari: Kuro;8.06;173264;46;6
957;Saiunkoku Monogatari;8.06;50951;44;6
24;School Rumble;8.06;178553;46;6
33286;Strike the Blood II;8.05;28220;43;4
849;Suzumiya Haruhi no Yuuutsu;8.06;428569;46;6
2623;Flanders no Inu (Movie);8.05;8505;49;1
268;Golden Boy;8.05;113040;44;4
29093;Grisaia no Meikyuu: Caprice no Mayu 0;8.05;70039;49;5
427;Kaleido Star;8.05;42253;46;6
4280;Kara no Kyoukai 4: Garan no Dou;8.05;103600;43;1
18429;Lupin III vs. Detective Conan: The Movie;8.05;10021;43;1
17549;Non Non Biyori;8.05;133475;46;6
26123;Seitokai Yakuindomo* OVA;8.05;26361;46;4
28;Yakitate!! Japan;8.05;50876;46;6
9513;Beelzebub;8.04;217752;43;6
14353;Death Billiards;8.04;95690;49;1
8408;Durarara!! Specials;8.04;103105;43;5
13331;Jormungand: Perfect Order;8.04;81951;43;6
4985;Mahou Shoujo Lyrical Nanoha: The Movie 1st;8.04;20433;43;1
29803;Overlord;8.04;244268;43;6
22;Prince of Tennis;8.04;87643;43;6
2618;Takarajima;8.04;5306;44;6
793;xxxHOLiC Movie: Manatsu no Yoru no Yume;8.04;41547;46;1
30279;Yuru Yuri San☆Hai!;8.04;44335;46;6
28755;Boruto: Naruto the Movie;8.03;74690;43;1
10029;Coquelicot-zaka kara;8.03;50689;55;1
2035;Eikoku Koi Monogatari Emma: Molders-hen;8.03;11903;49;6
790;Ergo Proxy;8.03;265005;64;6
9289;Hanasaku Iroha;8.03;150393;46;6
15809;Hataraku Maou-sama!;8.03;409037;46;6
27989;Hibike! Euphonium;8.03;134694;49;6
